Start_City_1,Start_City_2,Route_Agent_1_ 1,Route_Agent_1_ 2,Route_Agent_1_ 3,Route_Agent_1_ 4,Route_Agent_1_ 5,Route_Agent_1_ 6,Route_Agent_1_ 7,Route_Agent_1_ 8,Route_Agent_1_ 9,Route_Agent_1_10,Route_Agent_1_11,Route_Agent_1_12,Route_Agent_1_13,Route_Agent_1_14,Route_Agent_1_15,Route_Agent_1_16,Route_Agent_2_ 1,Route_Agent_2_ 2,Route_Agent_2_ 3,Route_Agent_2_ 4,Route_Agent_2_ 5,Route_Agent_2_ 6,Route_Agent_2_ 7,Route_Agent_2_ 8,Route_Agent_2_ 9,Route_Agent_2_10,Route_Agent_2_11,Benefit_Agent_1,Benefit_Agent_2,Cost_Agent_1,Cost_Agent_2,Payoff_Agent_1,Payoff_Agent_2,Total_Payoff,Avg_Payoff,Timestamp_Agent_1_ 1,Timestamp_Agent_1_ 2,Timestamp_Agent_1_ 3,Timestamp_Agent_1_ 4,Timestamp_Agent_1_ 5,Timestamp_Agent_1_ 6,Timestamp_Agent_1_ 7,Timestamp_Agent_1_ 8,Timestamp_Agent_1_ 9,Timestamp_Agent_1_10,Timestamp_Agent_1_11,Timestamp_Agent_1_12,Timestamp_Agent_1_13,Timestamp_Agent_1_14,Timestamp_Agent_1_15,Timestamp_Agent_1_16,Timestamp_Agent_1_17,Timestamp_Agent_1_18,Timestamp_Agent_1_19,Timestamp_Agent_1_20,Timestamp_Agent_2_ 1,Timestamp_Agent_2_ 2,Timestamp_Agent_2_ 3,Timestamp_Agent_2_ 4,Timestamp_Agent_2_ 5,Timestamp_Agent_2_ 6,Timestamp_Agent_2_ 7,Timestamp_Agent_2_ 8,Timestamp_Agent_2_ 9,Timestamp_Agent_2_10,Timestamp_Agent_2_11,Timestamp_Agent_2_12,Timestamp_Agent_2_13,Timestamp_Agent_2_14,Timestamp_Agent_2_15,Timestamp_Agent_2_16,Timestamp_Agent_2_17,Timestamp_Agent_2_18,Timestamp_Agent_2_19,Timestamp_Agent_2_20
16,14,16,18,15,13,20,4,19,1,2,8,12,16,,,,,14,3,7,6,17,5,9,11,10,14,,1650,1350,222.48,44.06,1427.52,1305.94,2733.46,1366.73,17.48,19.42,0,13.5,0,0,0,21.32,0,0,0,21.8,9.5,0,7.16,0,0,5.22,15.58,11.62,0,3.174,0.28,0,1.724,1.04,0.7,0,1.964,4.366,2.374,5.666,0,0,0,0,1.444,0,0,0
16,15,16,18,19,4,2,8,11,12,6,14,17,16,,,,,15,20,13,7,1,10,5,3,9,15,,1650,1350,191.08,237.206,1458.92,1112.794,2571.714,1285.857,0,11.04,0,9.04,0,17.2,0,12.94,0,0,14.74,16.1,0,17.92,0,0,18.572,5.22,6.96,0,16.6606,0,20.7206,0,19.7006,0,15.4006,0,21.8606,18.3606,0,0,2.4606,22.8006,0,0,23.0986,0,0,0.3406
16,17,16,18,15,13,7,4,19,1,20,12,8,16,,,,,17,5,9,11,6,2,10,3,14,17,,1650,1350,319.87,41.68,1330.13,1308.32,2638.45,1319.225,27.82,0,0,23.84,0,0,22.44,31.065,0,0,0,30.585,9.5,0,7.16,0,0,5.22,25.92,29.405,0,1.97,4.3634,0,0.28,1.39,0,0,0.52,3.22,0.93,0,0,4.6434,0,0,0,0,2.574,3.7434
16,18,16,5,9,17,6,11,2,10,20,15,3,14,12,16,,,18,13,7,4,19,1,8,18,,,,1950,1050,60.494,208.88,1889.506,841.12,2730.626,1365.313,0,2.632,4.8614,0,0.44,1.378,0,0,0.68,3.278,1.832,5.6014,0,5.1414,4.1414,0,0.978,0,0,3.8014,19.408,0,23.673,15.428,0.24,0,14.028,25.193,0.62,0,0,0,1.088,24.533,22.573,0,0,0,17.508,20.993
16,19,16,18,15,13,7,4,2,8,11,17,6,16,,,,,19,10,20,3,14,12,1,5,9,19,,1650,1350,313.02,51.294,1336.98,1298.706,2635.686,1317.843,0,25.84,0,23.84,0,30.426,22.44,27.74,0,0,29.54,0,9.5,0,7.16,0,30.026,5.22,0,0,2.4434,0,1.2834,0,4.0834,4.9234,0,3.1034,4.3234,0.2,0,2.0234,0,1.5634,0,0,0,0,0,0.7234
16,20,16,18,19,4,2,8,11,12,6,14,17,16,,,,,20,15,13,7,1,10,5,3,9,20,,1650,1350,191.08,237.054,1458.92,1112.946,2571.866,1285.933,0,11.04,0,9.04,0,17.2,0,12.94,0,0,14.74,16.1,0,17.92,0,0,18.572,5.22,6.96,0,16.88,0,20.94,0,19.92,0,15.62,0,22.08,18.58,0,0,2.68,23.02,0.34,0,23.318,0,0,0
17,1,17,5,9,18,16,12,14,3,20,10,6,17,,,,,1,4,19,13,7,8,2,15,11,1,,1650,1350,48.472,254.3,1601.528,1095.7,2697.228,1348.614,0,0,2.606,0,0.28,4.4432,0,0,0.52,3.6832,0,1.866,0,2.326,0,1.426,0,0.904,0,3.1592,0,20.5,0,0.42,0,25.522,17.4,18.6,0,25.062,23.87,0,4.46,0,22,0,0,0,2.5,0
17,2,17,5,9,18,13,11,16,4,8,15,20,10,19,17,,,2,6,7,3,14,12,1,2,,,,1950,1050,81.346,44.4,1868.654,1005.6,2874.254,1437.127,0,0,0,3.728,0.28,0,0,4.808,0.52,6.7126,2.136,0,1.372,0,5.848,3.148,0,0.904,6.9126,6.1886,2.5,0,1.34,2.92,0,0.58,0.92,3.58,0,8.445,0,2.08,0,1.62,5.16,0,0,0,10.343,6.745
17,3,17,5,9,18,13,16,12,1,4,8,17,,,,,,3,14,7,6,11,2,19,10,20,15,3,1500,1500,60.44,47.214,1439.56,1452.786,2892.346,1446.173,3.216,0,0,3.636,0.28,0,0,4.716,0.52,0,0,2.796,1.372,0,0,2.356,0,0.904,0,0,0,2.334,0,0,0,1.08,0.74,0,0,3.138,1.534,0,0,0.28,4.0014,0,0,0,2.938,3.6614
17,4,17,5,9,18,13,7,15,16,19,14,6,3,17,,,,4,1,2,8,11,20,12,10,4,,,1800,1200,217.56,120.22,1582.44,1079.78,2662.22,1331.11,0,0,20.922,0,0.28,20.162,14.312,0,0.52,0,0,0,1.372,19.442,15.392,16.888,0,0.904,18.402,0,0.42,2.36,15.268,0,0,14.648,0,4.26,0,13.888,7.966,12.594,6.166,0,9.826,0,0,0,0,11.414
